Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_10,MA_20,MA_30,VOL_5,VOL_10,VOL_20,VOL_30,green,ma_break_all_avg,ma_break_30_avg,tmrw_high_open,tmrw_succeed_all_avg,tmrw_red
2021-04-09,40.0,24.01000022888184,25.8799991607666,34.70000076293945,47777021.0,34.485801696777344,,,,,,,,,False,False,False,False,False,True
2021-04-12,40.810001373291016,29.850000381469727,30.0,32.439998626708984,45054150.0,32.23975372314453,,,,,,,,,False,False,False,False,False,True
2021-04-13,33.33000183105469,27.709999084472656,29.5,32.43000030517578,33886386.0,32.22981643676758,,,,,,,,,False,False,False,False,False,True
2021-04-14,36.47999954223633,31.5,32.0,33.79999923706055,33171094.0,33.59135818481445,,,,,,,,,False,False,False,False,False,True
2021-04-15,34.880001068115234,28.799999237060547,30.0,34.79999923706055,28113403.0,34.58518600463867,33.63399963378906,,,,37600410.8,,,,False,False,False,False,False,False
2021-04-16,37.4900016784668,31.799999237060547,34.0,31.950000762939453,29115785.0,31.752779006958008,33.08399963378906,,,,33868163.6,,,,True,False,False,True,False,True
2021-04-19,34.380001068115234,31.299999237060547,32.0099983215332,33.0099983215332,26092598.0,32.80623245239258,33.19799957275391,,,,30075853.2,,,,False,False,False,False,False,False
2021-04-20,31.940000534057617,29.5,31.809999465942383,31.0,28411841.0,30.80864143371582,32.91199951171875,,,,28980944.2,,,,True,False,False,False,False,False
2021-04-21,30.170000076293945,27.3700008392334,29.899999618530277,27.46999931335449,21678540.0,27.300432205200195,31.64599952697754,,,,26682433.4,,,,True,False,False,False,False,False
2021-04-22,27.86000061035156,26.059999465942383,27.299999237060547,26.34000015258789,17443347.0,26.17740821838379,29.953999710083007,31.793999671936035,,,24548422.2,31074416.5,,,True,False,False,False,False,True
2021-04-23,27.25,25.350000381469727,25.850000381469727,26.46999931335449,16705720.0,26.306604385375977,28.857999420166017,30.97099952697754,,,22066409.2,27967286.4,,,False,False,False,False,False,True
2021-04-26,27.049999237060547,25.700000762939453,26.0,26.06999969482422,11877315.0,25.909074783325195,27.469999694824217,30.333999633789062,,,19223352.6,24649602.9,,,False,False,False,False,False,False
2021-04-27,25.950000762939453,23.799999237060547,25.899999618530277,23.81999969482422,13968466.0,23.672962188720703,26.033999633789062,29.472999572753906,,,16334677.6,22657810.9,,,True,False,False,True,False,True
2021-04-28,28.57999992370605,23.8799991607666,24.0,28.57999992370605,22456904.0,28.403579711914062,26.255999755859374,28.950999641418456,,,16490350.4,21586391.9,,,False,False,False,True,False,False
2021-04-29,31.770000457763672,27.100000381469727,30.030000686645508,27.309999465942383,27840375.0,27.14141845703125,26.449999618530274,28.20199966430664,,,18569756.0,21559089.1,,,True,False,False,False,False,True
2021-04-30,28.200000762939453,26.25,26.309999465942383,26.520000457763672,15885165.0,26.35629653930664,26.45999984741211,27.658999633789062,,,18405645.0,20236027.1,,,False,False,False,False,False,False
2021-05-06,26.770000457763672,25.200000762939453,26.26000022888184,25.489999771118164,11907017.0,25.33265495300293,26.3439998626709,26.906999778747558,,,18411585.4,18817469.0,,,True,False,False,True,False,True
2021-05-07,27.0,25.399999618530277,25.709999084472656,26.239999771118164,13377685.0,26.07802391052246,26.827999877929688,26.430999755859375,,,18293429.2,17314053.4,,,False,False,False,False,False,False
2021-05-10,26.0,24.51000022888184,26.0,25.18000030517578,11351049.0,25.024568557739254,26.147999954223632,26.201999855041503,,,16072258.2,16281304.3,,,True,False,False,False,False,True
2021-05-11,26.8799991607666,24.57999992370605,25.0,25.8799991607666,13316682.0,25.720245361328125,25.861999893188475,26.155999755859376,28.974999713897706,,13167519.6,15868637.8,23471527.15,,False,False,False,False,False,True
2021-05-12,26.3799991607666,25.15999984741211,25.299999237060547,26.3700008392334,10750930.0,26.207223892211918,25.83199996948242,26.145999908447266,28.5584997177124,,12140672.6,15273158.8,21620222.6,,False,False,False,False,False,False
2021-05-13,26.799999237060547,25.170000076293945,26.200000762939453,25.209999084472656,10086662.0,25.05438232421875,25.77599983215332,26.059999847412108,28.196999740600585,,11776601.6,15094093.5,19871848.2,,True,False,False,False,False,True
2021-05-14,25.82999992370605,24.82999992370605,25.030000686645508,25.170000076293945,7943010.0,25.014629364013672,25.561999893188478,26.19499988555908,27.833999729156496,,10689666.6,14491547.9,18574679.4,,False,False,False,True,False,True
2021-05-17,27.059999465942383,24.030000686645508,25.350000381469727,26.479999542236328,16277443.0,26.31654357910156,25.821999740600585,25.98499984741211,27.467999744415284,,11674945.4,13873601.8,17729996.85,,False,False,False,False,False,True
2021-05-18,27.0,26.09000015258789,26.11000061035156,26.290000915527344,12229569.0,26.12771797180176,25.904000091552735,25.882999992370607,27.042499828338624,,11457522.8,12312521.2,16935805.15,,False,False,False,False,False,True
2021-05-19,26.770000457763672,25.6200008392334,26.049999237060547,26.51000022888184,9833343.0,26.346359252929688,25.931999969482423,25.881999969482422,26.770499801635744,,11274005.4,11707339.0,15971683.05,,False,False,False,False,False,False
2021-05-20,26.489999771118164,24.899999618530277,26.11000061035156,25.270000457763672,10550191.0,25.114013671875,25.944000244140625,25.86000003814697,26.383499908447266,,11366711.2,11571656.4,15194562.7,,True,False,False,True,False,False
2021-05-21,25.600000381469727,24.81999969482422,25.350000381469727,24.940000534057617,6141994.0,24.78605079650879,25.89800033569336,25.73000011444092,26.080499935150147,,11006508.0,10848087.3,14081070.35,,True,False,False,True,False,True
2021-05-24,25.56999969482422,24.959999084472656,24.989999771118164,25.020000457763672,5446863.0,24.865556716918945,25.60600051879883,25.714000129699706,25.957999992370606,,8840392.0,10257668.7,13269486.5,,False,False,False,False,False,True
2021-05-25,25.3700008392334,24.649999618530277,24.799999237060547,25.049999237060547,6096067.0,24.89537048339844,25.358000183105467,25.631000137329103,25.89349994659424,27.860333188374838,7613691.6,9535607.2,12702122.5,18826220.5,False,True,True,False,False,True
2021-05-26,26.149999618530277,24.71999931335449,25.0,25.81999969482422,10337507.0,25.66061782836914,25.220000076293946,25.576000022888184,25.860999965667723,27.564333152770995,7714524.4,9494264.9,12383711.85,17578236.7,False,False,True,False,False,True
2021-05-27,26.350000381469727,25.46999931335449,25.65999984741211,25.84000015258789,8649783.0,25.68049430847168,25.334000015258788,25.639000129699706,25.84949998855591,27.344333203633628,7334442.8,9350577.0,12222335.25,16364757.8,False,False,True,True,False,False
2021-05-28,25.90999984741211,24.88999938964844,25.899999618530277,25.01000022888184,7957177.0,24.85561752319336,25.347999954223635,25.623000144958496,25.90900001525879,27.096999867757162,7697479.4,9351993.7,11921770.8,15500450.833333334,True,True,True,False,False,True
2021-05-31,26.790000915527344,24.809999465942383,24.950000762939453,26.239999771118164,11222156.0,26.07802391052246,25.591999816894532,25.59900016784668,25.792000007629394,26.844999885559083,8852538.0,8846465.0,11360033.4,14768819.566666666,False,False,True,False,False,True
2021-06-01,26.38999938964844,25.75,26.0,26.049999237060547,7196222.0,25.889196395874023,25.79199981689453,25.575,25.7289999961853,26.553333218892416,9072569.0,8343130.3,10327825.75,14071580.2,False,False,True,True,False,True
2021-06-02,30.0,26.049999237060547,26.209999084472656,27.8700008392334,20145525.0,27.69796371459961,26.202000045776366,25.711000061035158,25.79650001525879,26.41733322143555,11034172.6,9374348.5,10540843.75,13772571.533333333,False,False,False,False,True,False
2021-06-03,27.86000061035156,26.81999969482422,27.270000457763672,27.1299991607666,11976402.0,26.9625301361084,26.45999984741211,25.89699993133545,25.87849998474121,26.221333249409994,11699496.4,9516969.6,10544313.0,13302031.666666666,True,False,False,True,True,False
2021-06-04,28.25,26.229999542236328,27.280000686645508,26.3700008392334,11173602.0,26.207223892211918,26.731999969482423,26.039999961853027,25.885000038146973,26.06699994405111,12342781.4,10020130.4,10434108.85,12727423.7,True,False,False,False,False,False
2021-06-07,26.26000022888184,25.34000015258789,25.90999984741211,25.799999237060547,7248843.0,25.64073944091797,26.6439998626709,26.117999839782716,25.915999984741212,26.01133327484131,11548118.8,10200328.4,10228998.55,12246433.8,True,True,True,True,False,False
2021-06-08,25.959999084472656,25.170000076293945,25.809999465942383,25.299999237060547,6645419.0,25.14382743835449,26.493999862670897,26.142999839782714,25.886999988555907,25.976666577657063,11437958.2,10255263.6,9895435.4,11886502.866666667,True,True,True,True,False,True
2021-06-09,25.920000076293945,25.25,25.489999771118164,25.920000076293945,5358719.0,25.76000022888184,26.10399971008301,26.152999877929688,25.864499950408934,25.958333269755045,8480597.0,9757384.8,9625824.85,11508269.5,False,False,True,True,False,False
2021-06-10,25.93000030517578,25.01000022888184,25.93000030517578,25.13999938964844,6314545.0,25.13999938964844,25.705999755859374,26.082999801635744,25.860999965667723,25.927333259582518,7348225.6,9523861.0,9437219.0,11322843.833333334,True,True,True,False,False,False
