1,15099
2,2698
3,998
4,397
5,244
6,170
7,129
8,96
9,90
10,65
11,59
12,27
13,54
14,35
15,35
16,34
17,25
18,26
19,21
20,23
21,12
22,16
23,11
24,14
25,13
26,14
27,18
28,13
29,7
30,14
31,7
32,10
33,7
34,8
35,11
36,5
37,7
38,5
39,5
40,8
41,4
42,10
43,6
44,3
45,3
46,3
47,4
48,4
49,1
50,4
51,5
52,4
54,1
55,1
56,5
57,1
58,2
59,3
60,4
62,5
63,1
64,1
65,5
66,4
67,4
68,3
69,1
70,3
71,1
72,2
73,1
74,2
75,4
77,4
78,2
79,1
80,2
81,5
83,1
84,6
85,2
86,1
87,1
88,1
89,1
90,3
92,2
93,2
94,3
95,2
98,1
99,2
100,3
101,4
103,3
104,1
105,1
107,1
108,1
109,2
112,1
113,1
114,6
116,5
117,1
118,1
119,1
121,2
122,2
123,2
124,1
125,3
126,1
128,1
130,2
132,3
133,1
134,1
135,1
136,1
139,1
141,2
143,2
145,1
148,1
149,1
153,3
154,1
156,2
157,3
159,2
160,1
161,2
162,1
163,1
166,1
168,3
170,3
171,1
173,2
175,1
178,1
180,2
183,1
184,1
187,1
191,3
192,1
193,2
196,1
198,2
200,1
201,1
202,1
205,1
214,1
215,1
216,1
220,1
221,1
222,1
223,1
224,1
229,2
231,1
233,1
234,1
235,1
237,1
240,1
248,1
249,2
251,1
257,2
258,1
261,1
262,1
264,1
265,1
266,1
272,1
273,1
276,1
278,1
279,1
280,1
282,1
285,1
288,1
290,1
292,1
294,1
298,1
299,1
301,1
307,1
308,1
314,1
316,1
317,1
319,1
341,2
351,1
352,1
357,1
358,2
360,1
363,1
366,1
367,1
379,1
381,1
393,1
395,1
401,1
405,1
417,3
441,2
445,1
446,2
459,1
460,1
465,1
470,1
486,1
487,2
498,1
499,1
504,1
508,1
515,1
520,1
523,2
528,1
539,1
540,1
545,1
555,1
557,1
561,1
562,1
565,1
567,1
576,1
580,1
608,1
612,1
613,1
614,2
623,1
626,1
631,1
644,1
649,1
657,1
671,1
691,1
696,1
710,1
723,1
724,1
754,1
756,1
759,1
771,1
774,1
808,1
839,1
850,1
860,1
880,1
896,2
915,1
918,1
1018,1
1034,1
1072,1
1078,1
1081,1
1133,1
1155,1
1173,1
1207,1
1209,1
1219,1
1246,1
1248,1
1291,1
1295,1
1401,1
1429,1
1452,1
1505,1
1516,1
1525,1
1613,1
1628,1
1689,1
1714,1
1723,1
1748,1
1760,1
1772,1
1832,1
1868,1
1916,1
2116,1
2982,1
3030,1
5761,1
7191,1
9400,1
28605,1
